Distance (s),Height (h)
35385.39296413055,-1842.2526501142427
35501.03150322902,-1861.1792399918631
35616.67004232749,-1878.3262841215071
35732.308581425954,-1894.4037644762689
35847.94712052442,-1910.0974112293497
35963.585659622884,-1925.891859361461
36079.22419872135,-1941.8114643662082
36194.862737819814,-1957.7393868300717
36310.50127691828,-1973.3150968525977
36426.139816016745,-1987.9265821221968
36541.77835511521,-2000.889044323654
36657.41689421368,-2011.4593261179436
36773.05543331215,-2019.0752191328259
36888.69397241061,-2023.3073752453524
37004.33251150908,-2023.8717114696024
37119.97105060754,-2020.8212907412376
37235.60958970601,-2014.5034997701819
37351.24812880447,-2005.4537400223644
37466.88666790294,-1994.3406693012378
37582.52520700141,-1981.936766417682
37698.163746099875,-1969.0194015599368
37813.80228519834,-1956.2312752810305
37929.4408242968,-1944.0608423669864
38045.07936339527,-1932.9109477205873
38160.717902493736,-1923.090736426412
38276.3564415922,-1914.8278343626118
38391.994980690666,-1908.3504356404617
38507.63351978913,-1903.8558634842461
38623.2720588876,-1901.5346892669024
38738.91059798607,-1901.5313188904854
38854.54913708453,-1903.8347553087328
38970.18767618299,-1908.383918647645
39085.826215281464,-1915.007892273874
39201.46475437993,-1923.4096406977114
39317.103293478394,-1933.2478767426494
39432.74183257686,-1944.1550965506472
39548.38037167533,-1955.7439063660358
39664.01891077379,-1967.6461179155879
39779.657449872255,-1979.5909485714221
39895.29598897072,-1991.3308337078518
40010.93452806919,-2002.6752671007878
40126.57306716766,-2013.5059660118436
40242.21160626612,-2023.719567216325
40357.85014536459,-2033.2470229815528
40473.48868446305,-2042.0389602083033
40589.12722356152,-2050.052579791641
40704.76576265998,-2057.2405265560924
40820.40430175845,-2063.5697849894773
40936.04284085691,-2069.0159814571534
41051.681379955386,-2073.5599605920547
41167.31991905385,-2077.2013955542857
41282.958458152316,-2079.932809519211
41398.596997250774,-2081.7568682991923
41514.235536349246,-2082.7010245261017
41629.87407544771,-2082.8152780189084
41745.512614546176,-2082.1587082741157
41861.15115364464,-2080.827891613475
41976.78969274311,-2078.963889510964
42092.42823184158,-2076.707515714243
42208.066770940044,-2074.275991742136
42323.7053100385,-2071.919095551549
42439.34384913697,-2069.87151149755
